OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10 
+,2217,7612,9724,8218,387,6026,6309,6812,707,4098
+,5319,8355,2213,9745,2595,7050,3998,6254,9139,3992
+,1750,262,575,7079,7479,7938,152,4128,1924,9439
+,4736,9878,4775,9361,562,5294,7044,4623,7161,5932
+,2128,3749,8120,6350,8328,2093,5746,6495,453,9311
+,5126,2393,6138,1591,8178,8827,2192,6608,7728,5100
+,6684,1142,301,3628,1746,4491,3690,8411,7267,9643
+,5381,4279,833,5585,1427,8271,1563,8603,3428,8122
+,149,4301,2738,839,169,3933,5268,8825,5770,3231
+,1495,1512,9212,5606,7755,3839,6553,3646,5595,6907
+,1725,9077,9424,179,3664,1570,4296,4844,2426,7307
+,9811,248,6069,8661,7303,3569,9486,2999,5994,4427
+,7200,2137,5164,2383,6090,3738,3139,9775,9828,823
+,3516,3236,1766,7508,629,3517,4448,8252,1908,8056
-,657,0,0,0,0,0,0,0,0,0
+,2581,1883,3907,2439,5627,5476,7913,6027,7202,9408
+,962,2277,3588,5043,7835,8441,809,1372,8857,9977
+,3178,7975,7556,6575,638,4558,3808,5280,5427,2083
+,8954,4578,9513,5845,6623,9995,6001,8465,5723,5708
+,2489,8630,8101,9721,466,8024,5906,1455,6321,6766
+,8496,3828,2387,3570,9466,1773,4623,2296,4480,5190
+,3,7340,2195,8332,7631,7402,8366,8143,5558,3992
-,519,0,0,0,0,0,0,0,0,0
+,8696,2436,2718,3961,5711,4520,396,9043,3737,1859
+,7709,3996,6393,6245,2875,3559,3453,9784,2576,7885
+,7026,9006,4720,6279,422,7756,8678,6380,7589,4809
+,1518,396,4031,1681,5747,8456,2177,9874,7009,7913
+,221,3038,6506,2117,1854,1309,9914,3839,4338,190
-,312,0,0,0,0,0,0,0,0,0
+,700,5785,1789,1489,1080,7525,777,6719,6590,157
+,8102,2903,5617,9580,7391,4666,6628,268,4372,3542
+,3414,1027,407,1388,2853,2187,7024,1683,2587,3840
+,6448,907,5328,2555,4880,6596,8274,2537,7955,4178
+,4282,1670,5510,5598,2190,9998,7454,2167,7282,2514
+,1459,2378,3299,7123,3388,4895,5736,2733,4285,9802
+,7193,3096,4734,7939,7291,6215,3360,1903,5170,4662
+,2847,6519,4745,5643,7951,5271,7092,1924,3194,8232
+,3368,1686,465,6131,2863,5792,8391,2422,9662,4620
+,2789,8301,563,2716,9402,1974,8631,1590,8142,7012
+,345,9933,5305,4409,2155,5745,4350,7565,1012,8432
+,7623,8743,268,8851,410,2400,5097,5573,7379,4371
+,8931,448,3901,357,7636,2767,8438,8617,8725,3640
+,7137,645,6283,3521,5805,6879,3200,8564,7597,2100
+,3825,6339,5027,2851,3242,9882,3049,1246,259,888
+,7135,1613,3544,3851,3706,1594,4566,2156,7370,4870
+,9888,5832,8252,7852,9486,8844,498,437,7746,1247
+,4186,5972,6449,9795,4142,5632,2679,7026,1052,1115
+,9088,8987,7489,676,553,5707,3035,6600,8199,3937
+,7114,6759,4325,2550,4111,8723,8474,5039,8451,8668
+,7307,6953,3675,6600,7751,2802,1510,6139,6711,4851
+,9001,1747,6555,9004,7576,1869,8462,9148,8691,2042
-,560,0,0,0,0,0,0,0,0,0
-,439,0,0,0,0,0,0,0,0,0
+,6226,814,5496,8565,3683,9813,6145,7019,2602,4598
+,6468,3525,5245,2696,4347,7094,1836,6843,4739,8178
+,8782,6562,3922,9365,9284,6655,3340,5690,2617,346
+,317,7756,544,9750,5552,7117,4358,2794,2118,9696
+,715,4935,3384,5751,8867,269,8196,2139,1105,5197
+,2900,5284,3958,138,9862,6760,8586,1504,1831,8491
+,9976,6527,3747,2080,1754,6535,4742,7733,7335,5822
+,2866,3220,1618,2809,1511,9838,8188,5444,1843,982
+,5165,4467,5216,8700,9926,447,3685,8866,2807,6787
-,286,0,0,0,0,0,0,0,0,0
+,9750,8770,5828,4454,1616,8246,3556,4834,1872,1189
+,6555,7780,9786,6499,2509,4660,466,900,7358,6147
+,6668,6570,2882,1002,5809,2017,5810,5221,5740,5831
-,939,0,0,0,0,0,0,0,0,0
+,2937,3429,1180,7463,9330,252,651,6394,7580,9789
+,2685,9605,6496,3088,5137,4539,2776,2025,859,52
+,1372,569,9104,9761,5395,8184,1420,2276,2887,7113
+,8313,1364,6508,3650,3774,9929,5299,1477,4057,2144
-,565,0,0,0,0,0,0,0,0,0
+,4274,5833,2281,1397,7148,4692,7984,3097,7606,945
+,508,6534,7910,7271,1513,5539,385,7917,2406,8874
+,4082,3974,3479,3093,8308,8485,1977,9779,7739,7518
+,5755,2487,3718,2737,7091,8994,4257,6145,5524,6491
+,244,5577,6237,2664,6492,7508,9536,4693,524,7344
+,1502,913,4791,5441,7742,3115,2814,9488,9938,7929
+,174,2934,5699,7853,646,5420,3131,4205,806,2331
+,5194,1065,2548,7222,5149,9978,9681,8460,9043,9262
+,6295,4765,7104,9360,6817,4868,8967,6815,8980,7486
-,740,0,0,0,0,0,0,0,0,0
+,8168,5264,2618,2388,7323,8246,1519,1356,9797,4000
+,3147,4391,9027,3637,5597,5373,3068,5046,9819,4414
+,4315,3120,2537,556,3179,2790,4049,6178,6599,2242
+,8044,9377,7989,4651,195,4781,4802,4586,9956,7612
+,1987,9267,1934,1226,5633,2161,3144,2932,4278,6202
+,135,5200,1013,3533,2954,6087,5170,3447,5394,3301
+,6838,6039,7093,6902,2217,8801,7891,8655,5895,2019
+,2807,8699,5606,2152,4304,7158,398,4132,4780,4298
+,9086,5250,3752,6313,5458,2251,751,3511,7989,2089
+,2544,9169,848,1981,9688,1031,8297,7146,3071,1353
+,6464,6765,4837,216,8770,1991,2576,7633,9303,6908
+,6534,2471,5316,2436,1365,6788,9186,4867,9966,6929
+,1058,70,1893,4166,6492,8721,4357,3937,9432,5931
+,3951,3931,4741,7548,1069,145,5771,2265,4143,397
+,980,2389,188,618,6854,6702,1362,4510,9474,6497
+,9906,2506,1960,4408,5136,5796,5551,8420,4818,3718
+,2791,5820,8367,253,609,7625,9669,8863,438,5849
+,4385,2396,3067,5568,3085,6309,2988,2016,5054,1718
+,3842,42,2364,5481,1850,4121,8797,8061,9755,4071
+,8036,2396,7521,8803,3892,204,7416,2421,6715,1957
+,8925,5410,5097,6281,9372,1898,9856,7494,7281,5282
+,5294,7898,1919,5676,5190,8853,4296,5336,5518,5496
+,1344,396,4114,4481,3370,574,4862,5208,1132,8992
+,3585,715,5976,1820,5835,749,9732,3908,1714,1561
+,4631,616,3711,1476,3652,1913,4878,8645,3872,3779
+,9633,7800,8030,7988,9137,6220,1240,8015,2546,1029
-,144,0,0,0,0,0,0,0,0,0
+,9910,4459,9890,3024,7821,6882,7583,3696,4672,6075
+,1926,3545,5255,8920,3134,2411,5939,483,6503,6324
+,7079,6877,6282,8569,4361,1862,9982,8210,2386,1174
-,591,0,0,0,0,0,0,0,0,0
+,902,8706,3223,1561,2583,8778,3270,9821,5013,9567
+,3953,2215,8942,9982,4818,7058,5801,6351,6612,6721
+,3865,3443,6060,9826,5215,163,4780,1815,8849,9065
-,372,0,0,0,0,0,0,0,0,0
+,801,8731,1454,9269,3801,1605,397,5575,878,1271
+,4059,4625,1208,7660,404,4954,5027,9258,5953,7962
+,6178,5373,8961,3035,9417,8801,7968,4281,5242,9503
+,267,6595,9604,8642,2833,845,2091,1192,8486,8468
+,6210,6493,9690,8703,5364,5118,6067,673,2682,2313
+,4542,5635,1782,9806,4372,6081,5886,8872,348,1493
+,4923,102,934,6929,7229,8530,1732,6051,9963,4283
+,6033,6378,6507,8158,9946,4399,7758,7241,9540,8259
+,5779,6674,9412,9147,4552,4846,9437,466,8699,6820
+,9848,5926,337,5295,9589,2389,4016,2837,2768,7324
+,8269,326,3520,1694,7287,2430,5738,8687,8550,6636
-,521,0,0,0,0,0,0,0,0,0
+,1030,2370,4827,7503,6749,2353,6512,1219,6837,9309
+,7580,3223,7840,8476,4873,4470,9768,4188,729,8034
+,1006,6513,6256,1229,5890,3232,4637,5130,2452,3885
+,3292,8985,3291,5340,4919,9653,3223,4469,2012,9282
+,6249,910,8360,2859,6381,9253,854,285,645,4399
+,7223,1328,9487,4147,3314,5557,319,7288,749,4748
+,8915,3168,5691,1754,3330,8425,5010,6444,5226,6864
+,7892,2983,5788,7684,7150,878,6273,6683,9350,9849
+,8430,1356,6220,9865,7223,3205,8651,4309,4998,4165
+,4920,8638,5534,3715,722,6417,4328,3749,5980,1714
+,6022,7633,2244,9495,2188,7493,70,5054,2242,9161
+,1649,4919,1793,3780,4210,1142,3686,6101,8875,882
-,29,0,0,0,0,0,0,0,0,0
+,1297,7521,1529,3287,3085,4193,3303,8296,5028,4882
+,2048,8572,13,3728,1964,2973,8158,2130,721,5067
+,9536,8519,9614,4700,7824,2347,6313,7246,6319,7298
+,3485,1474,677,6995,479,9871,4130,8911,363,5629
+,9980,3600,2770,315,2386,4088,5208,1868,4937,8188
+,8972,2186,5261,893,6222,358,4117,9426,8471,5314
+,8402,3580,3859,1555,6425,4921,4949,5583,3054,6609
+,993,1195,8837,1739,1083,742,3492,1926,187,5452
-,559,0,0,0,0,0,0,0,0,0
+,4356,4252,2930,5162,6901,4609,4902,6430,2878,9293
+,2462,5094,6868,9210,3794,6503,9985,9183,8907,6500
-,436,0,0,0,0,0,0,0,0,0
+,4587,5785,556,6188,5657,9617,5352,3014,8547,529
+,7849,3299,2893,4888,886,5483,6531,7561,5095,5529
+,3660,7936,1711,9594,7068,4344,8761,1430,9759,7399
+,8568,3053,7500,4927,9325,6615,513,7828,4270,2270
+,1765,6568,357,7194,3302,3246,6873,6790,8658,483
-,101,0,0,0,0,0,0,0,0,0
+,9664,9451,4840,7712,8343,2033,3316,4476,2091,4140
+,7184,553,128,1888,711,4860,760,4916,1173,5236
+,7051,8535,6080,7351,5146,1276,5562,435,7090,8813
+,7062,8322,6587,3087,2617,3162,4149,7821,8072,2332
+,2776,6935,5535,1513,1317,7562,4925,8253,8353,2610
+,848,6013,1520,8137,1256,6146,3996,8993,6734,1153
+,2957,306,8444,2383,5535,4907,7191,3400,9042,4711
+,2288,1115,3261,1274,3163,7746,2782,3149,862,1274
-,394,0,0,0,0,0,0,0,0,0
+,1417,4752,1849,1811,6542,1006,561,180,2818,7113
+,5274,179,4384,706,7369,9851,4180,8416,5712,7600
+,6080,1465,2807,2547,4140,2017,6785,6983,8435,777
-,287,0,0,0,0,0,0,0,0,0
+,576,4493,7697,2619,7455,9889,8072,588,720,2041
+,8321,9105,9390,7421,3126,3787,9691,6569,8188,1823
+,4886,787,681,9147,3136,9765,4340,5343,7988,5979
+,1280,8660,3848,1304,2678,5409,3260,7841,9609,9364
+,6705,4463,8360,1601,7071,9141,41,2088,5638,4672
+,6227,1264,7768,6376,1144,8297,3749,9679,4444,9486
+,4898,9810,2862,5779,964,6436,5647,9727,1947,2745
+,9011,2544,7518,6119,649,6899,4352,3621,1192,8466
+,5607,7715,1682,2981,1945,5648,7679,4932,9582,9752
+,6003,8326,9701,4155,7003,1251,1801,4004,7466,5387
+,1150,310,1458,6769,1319,4953,4498,4318,1090,2371
+,7883,8553,4383,3929,6740,984,2178,6117,1939,9255
+,4589,9987,6843,857,1545,539,1409,495,6229,5051
+,2396,2471,726,256,8872,6772,5838,3679,5729,3556
+,211,1807,3992,4277,2914,4721,2500,7100,6248,9286
+,8509,7965,736,5089,6977,6048,2846,1879,7553,6234
+,5848,3330,5364,2152,1895,2933,7208,3637,235,3104
+,5302,363,7595,8277,1334,718,4809,535,1765,4301
+,2953,7414,5654,8296,5773,7485,3772,3579,9742,1707
+,9477,6245,6660,6227,6503,9200,3638,5800,8896,5593
+,4145,9881,9496,6116,3283,284,8305,2236,6710,6231
+,7456,4768,3950,5570,5962,7552,4592,8933,7012,9666
+,9689,4058,8202,3986,9999,6503,297,4095,3290,5991
+,7692,5027,7874,5057,4263,9470,1608,5102,4453,9352
+,7235,2966,5512,949,6105,1354,6265,9401,4583,523
+,3399,1657,1063,9391,6232,9712,6065,3533,2370,5519
+,5665,3413,7553,8628,7935,895,3156,8863,4852,9698
+,4846,711,4831,8043,1290,8764,3202,2879,3016,8945
+,1059,6478,8441,8724,4554,6178,4033,5617,5619,1258
+,7331,2490,355,58,9262,7165,2361,6889,4918,7694
+,2718,7345,2888,7387,6101,5523,8237,6233,9278,2875
+,8809,4280,1128,7023,3078,8706,9336,9991,8804,814
+,5793,385,9180,3201,5046,5392,8409,9583,6195,6674
+,3903,2614,4447,1598,1977,2527,7356,6872,4141,3206
+,9866,4336,7648,961,5342,3216,9296,4993,7770,6516
+,64,3234,1014,6147,9963,9343,5704,719,2646,155
+,1959,4868,4705,9493,6079,1161,8199,8356,541,8903
+,5094,6001,3704,6581,7416,7534,8967,1780,2414,7518
+,9031,301,3666,677,4148,8680,1567,4490,3700,7368
+,1165,1681,2064,5062,662,3652,6012,3516,5707,1037
+,846,4797,1663,1209,7476,6137,5681,2034,1590,4719
+,3614,9811,682,4270,6886,1699,422,2625,4936,7462
+,9487,3716,1188,8737,3336,8532,3839,368,2346,9909
-,64,0,0,0,0,0,0,0,0,0
+,7013,4378,2920,6727,8183,7433,9224,652,6650,5322
+,3728,1352,9780,6106,2813,3686,867,8964,2052,4839
+,3750,7384,2505,3851,9919,7429,6259,276,6854,7190
+,7944,5397,6077,3240,3067,8249,4837,8974,9940,9559
+,1690,1470,5428,5977,5396,4429,3342,7337,1988,589
+,8945,4775,2997,9197,9410,9896,3014,5625,4079,9645
+,2913,693,4784,8914,3347,9628,3157,3253,6284,3358
+,9923,2961,5685,7663,2387,2559,9307,496,9583,9450
+,4125,2434,3443,8720,3626,6930,6442,835,6634,7627
+,190,9211,7514,9890,47,836,8513,904,8614,6924
+,2877,9964,6482,1732,7330,372,8791,2218,2439,6019
+,6048,1878,9811,6415,4964,9263,9951,1072,4706,7771
+,7879,3683,166,2823,8331,3505,2521,3093,4583,80
+,6633,9456,9990,4037,5382,4899,8838,6125,7738,4075
+,3629,518,8400,6362,3520,1759,1787,7133,8012,2977
+,9526,4418,703,3139,1130,2483,8680,1868,6753,5538
+,2087,6840,8386,7101,7009,9612,8795,198,1208,6081
+,6645,6387,5845,693,5268,2226,6924,8283,3358,8185
+,7980,8897,4693,4174,2278,1080,1430,6398,7665,1281
+,1793,9954,3592,1927,4694,6598,8352,6879,2411,6810
+,3426,9504,66,2076,1838,888,3458,8956,205,836
-,938,0,0,0,0,0,0,0,0,0
+,5441,3857,7034,5771,6372,8432,6300,9598,1124,1782
+,319,6256,2521,3742,6338,8931,1056,4752,9432,8139
+,7650,2155,5313,3377,4776,3484,5216,7356,5757,5415
+,2054,9077,2091,5851,996,5172,1945,1809,8900,5236
+,716,5138,7651,4829,7402,9660,4203,877,9908,2524
+,5424,905,2077,8456,431,5151,5674,6450,3779,6337
+,711,9342,2883,3937,7765,4881,365,4836,955,2924
+,6087,7694,1537,5274,3289,667,1693,4384,785,5683
+,977,1691,5290,4009,6312,5737,949,130,9472,5382
+,2829,19,2666,9165,5280,8064,5104,300,9305,9864
+,128,6201,2848,5639,2093,8326,3606,4040,6949,4311
+,3631,2813,7768,164,4394,312,7321,8567,968,4039
+,6482,4080,5936,2031,384,7116,988,2283,8375,5918
+,9538,4148,6884,941,3826,8001,3193,974,7388,740
+,7311,2013,6750,5083,34,4792,4915,8726,7813,8291
+,1339,5232,7340,882,2754,2892,4796,9876,393,2510
+,161,8025,4135,2083,750,8783,6769,5251,429,7551
-,217,0,0,0,0,0,0,0,0,0
+,3570,7512,6182,2487,2947,7311,4737,5,686,8295
+,6686,4522,9725,1114,1873,7255,3085,4894,3002,7900
+,4741,8340,3771,4815,3232,2916,5685,5443,4827,6401
+,9067,7649,9163,7319,1497,7119,2282,3909,1324,6225
+,471,4991,5530,9715,7035,3092,7959,88,8830,5134
+,8801,7813,7722,627,2923,1946,1963,3606,5501,9753
+,5434,5948,429,3941,5746,5346,9572,8913,8924,2041
+,4187,5400,7711,5040,2126,838,7933,5106,7230,5467
+,4175,2326,3295,4028,9544,9560,2368,8033,590,5679
+,4196,5355,6494,7398,7721,1690,1754,8758,8263,237
+,7071,4562,4744,6352,6548,7296,3914,4196,6912,481
-,95,0,0,0,0,0,0,0,0,0
+,5487,6533,9484,2812,3592,6486,1076,7902,6579,1623
-,165,0,0,0,0,0,0,0,0,0
+,4782,8406,6752,2472,44,663,4676,4282,2323,3821
+,7629,8672,8341,2546,4579,1913,8926,9075,9074,4449
+,9727,2164,1337,5500,9669,8706,2092,3790,5390,3567
+,4693,1414,4918,7521,9624,9587,8435,7599,7756,7698
+,7949,6344,8891,1059,9521,508,2503,9055,7142,6990
+,4779,360,9696,6454,9591,4700,4262,7541,5502,973
+,2327,8767,7196,6737,7034,4162,8596,1570,5907,1015
+,1864,3450,878,256,1552,8977,1713,326,7394,9615
+,5796,2692,4049,2497,1632,3144,8168,4054,5717,3794
+,5899,3224,8122,4419,8321,5398,5409,2200,3236,7208
-,524,0,0,0,0,0,0,0,0,0
+,4277,692,8612,909,8915,9522,6200,1355,8772,7375
-,568,0,0,0,0,0,0,0,0,0
+,259,1930,6095,285,1480,481,1323,1447,2407,1528
+,3450,435,5156,7220,322,2974,4046,6351,6174,4368
+,7129,4592,5901,2453,4524,5257,9140,9830,467,4165
+,51,6130,3981,3185,398,8768,867,6013,4948,8233
+,4133,4370,4259,5305,6533,4741,7655,1566,5790,9451
+,9457,3027,3930,8044,5081,7185,5343,3526,3446,1447
+,7059,935,6416,2789,8986,3800,2589,1851,9328,4783
+,5885,9944,4236,2368,2836,8850,3252,3625,9112,5032
+,2104,8271,6574,2757,5053,1246,1736,9999,7870,8892
+,7831,1492,2855,1535,3909,4121,8656,857,4849,5898
+,1170,4320,9330,901,7322,5787,8431,9498,8476,6635
-,781,0,0,0,0,0,0,0,0,0
+,7846,3325,7428,1944,5835,4416,5421,7325,8253,218
+,666,8679,1699,7180,7770,9078,8984,2518,7019,7180
-,439,0,0,0,0,0,0,0,0,0
+,5896,2860,9927,5173,770,1495,4467,1767,7080,3647
+,896,7740,9506,8632,584,279,7531,285,2297,2240
+,4327,3657,1530,5623,5692,3358,2219,9903,5820,7950
+,8254,5397,1044,4085,2618,1011,5011,3375,5887,6045
+,4958,6784,4684,3689,1690,5057,5487,4638,3018,7160
+,4365,6925,348,8141,365,9152,5614,7710,2819,7283
-,743,0,0,0,0,0,0,0,0,0
+,5430,2938,2224,7579,4338,9073,7384,2432,1931,3418
+,3801,4719,1241,225,5521,7153,5953,6180,9571,4481
+,1225,6289,1755,6210,8140,5086,7274,7896,6778,7703
+,7834,5598,5927,6676,9243,4833,1370,5411,1884,9846
+,1603,9424,4734,5655,7296,8053,8637,9219,962,8126
-,838,0,0,0,0,0,0,0,0,0
+,9326,5014,2597,4341,2552,4683,7719,1,4372,369
+,2693,3707,1419,9868,135,6870,5129,5369,4658,8991
+,8174,2544,7117,3181,1528,934,32,8437,8447,5638
+,4358,106,3633,1714,5144,5594,8706,2849,1955,5741
+,5831,6846,8548,2253,7927,9916,2798,4912,8664,719
+,6961,727,234,5774,5462,1430,5400,537,6533,9395
+,7276,8007,6415,6468,9566,5573,7280,7952,1753,5996
+,7128,3154,6994,3559,9415,5065,3677,9674,9972,9876
+,4345,9501,5257,6883,927,7083,415,8554,9811,4227
+,8443,4319,5995,8080,8591,813,2330,6925,8833,7263
+,9213,4209,4475,5375,672,4270,399,2448,5676,8316
+,5873,4574,7531,5358,8025,6614,2980,5449,5741,172
+,1820,9312,85,2650,845,9504,8034,362,4842,3480
+,1806,8509,3545,7046,9816,4823,5060,5978,2588,1981
-,444,0,0,0,0,0,0,0,0,0
+,7697,848,8027,2859,723,2064,4334,8456,3259,8506
+,3958,9170,4652,5369,9084,7878,102,6815,45,8211
+,8020,5565,9495,5527,7891,3660,4305,6456,7664,5181
+,2690,924,4715,9573,6496,9447,7044,1247,1245,6436
+,7069,7408,254,3709,8235,2372,6251,4863,7318,6889
+,8855,5192,7016,7818,9872,4435,7227,9997,5159,9356
+,5021,49,6584,7794,3737,2916,3793,3260,291,2456
+,8225,5416,5535,7364,1810,6350,266,8497,5433,6774
+,2689,3475,2221,184,7336,751,230,4262,89,9746
+,2725,4118,4432,830,7605,5696,4017,4259,896,2369
+,7888,4036,1908,5594,2608,1138,8490,3843,1875,3166
+,6508,2930,5492,249,3903,5820,6337,3079,341,4945
+,9219,1179,8549,2488,8054,3195,765,7224,8009,6131
+,3079,3761,2642,9876,591,5863,3993,518,7078,5550
+,1098,9382,3771,8859,6179,1646,3405,1917,2809,1054
+,8788,6755,6708,3969,2636,8303,7996,3144,4342,9636
+,567,2296,1773,9246,4347,9639,6540,8201,6682,3144
-,708,0,0,0,0,0,0,0,0,0
+,2114,7142,9546,5399,7730,7548,8355,5758,8917,8364
+,4754,2474,5596,8738,3804,3650,8187,7142,7937,5846
+,1799,3666,7179,9917,9808,5752,8365,4335,5089,2839
+,1993,8529,4256,8935,6842,7449,754,2836,904,1550
+,4165,6025,2608,8294,5470,8986,1836,710,4910,7817
+,9757,4622,1994,1618,7666,6184,6427,8463,2592,9724
+,9994,7563,1304,4559,1660,1999,8195,694,2649,2633
+,8940,8591,6722,8504,7352,2256,5562,2511,1935,3887
+,2089,6679,2881,1219,1676,2098,8011,6807,6410,7777
+,6804,6900,5214,9426,2882,2575,8386,5285,8107,7393
+,490,6650,9523,3204,6584,6679,7102,3523,4845,2113
+,1907,1565,2354,4169,3018,748,7843,1875,327,790
+,8406,2739,5053,6647,4486,7220,3702,6168,7467,9552
+,8026,9573,151,9600,2253,5026,3594,5745,5066,5815
-,93,0,0,0,0,0,0,0,0,0
+,6252,4521,1723,2619,5229,9599,2366,7068,4818,9850
+,8167,8339,6658,1157,9578,7724,9621,5661,3676,6171
+,1814,8339,9132,948,2939,509,1078,7165,5307,6115
+,710,1783,8368,4621,9472,9426,1382,4438,2060,8674
+,9317,5018,2799,9860,4774,6476,9693,2004,5475,8447
+,2452,9372,5593,4734,6717,87,5108,4016,5100,7880
+,2830,4153,9229,9592,9336,7489,5847,7876,9725,9207
+,5946,5275,234,1193,8066,5164,7266,5593,5870,8611
+,3176,6601,5466,4107,5814,3073,9523,8594,2601,2810
+,4229,8704,3500,3191,6460,2676,3613,2292,5543,4918
+,5172,2835,2421,8833,3732,2792,163,8284,9360,5561
+,2094,8839,7078,308,6488,5354,6970,1726,8930,1221
+,6342,3217,3791,2236,8929,449,4227,8880,6926,1640
+,4007,9720,1609,3559,4598,5906,4998,7261,9879,4684
-,548,0,0,0,0,0,0,0,0,0
+,2954,4022,5475,2720,7452,1511,4461,3077,1468,5858
+,6840,8277,9262,6936,2162,2863,5897,7686,19,523
+,1521,5063,26,8784,8076,6111,5711,6462,4718,6151
+,3242,3885,2815,1091,7866,2373,7449,8397,1445,6786
+,8462,8838,8306,3196,6925,5181,9740,6233,4406,9158
+,84,9313,5860,8481,7806,155,1579,1814,4646,4790
+,3159,4786,958,5814,760,9583,8208,3463,9377,7936
+,9082,7475,9001,6978,3007,9724,1676,627,2372,6386
+,7185,1716,6539,6431,1396,6468,4679,8338,6675,6261
+,8498,9874,9968,8290,5671,6472,6382,537,9250,2237
+,3355,9016,3726,452,3668,169,9375,2038,1148,5931
+,3387,28,2196,8167,1980,8182,904,5544,1223,4646
+,4050,9961,547,993,1579,6213,1763,5268,101,1196
+,7594,1172,2378,367,786,8183,6770,1670,2264,9664
+,8930,995,7304,8184,7219,2804,6508,2818,2249,8176
+,5644,4194,1483,8992,556,4023,6775,9663,5733,1777
+,8734,2812,563,4738,7720,731,9177,706,7597,8008
-,453,0,0,0,0,0,0,0,0,0
+,7445,8789,6800,5262,7532,9842,1389,3345,1462,4684
+,2658,3341,7820,7311,3303,6255,1931,4174,8111,7490
+,2138,6980,2625,9313,1009,517,1365,415,1895,9655
+,2800,4018,9777,9388,32,9762,5957,8053,9541,3359
+,5427,9107,8688,6891,5731,3451,7582,310,6598,120
-,448,0,0,0,0,0,0,0,0,0
+,1301,8697,9054,5043,3164,3017,7543,5660,2720,6815
+,1361,42,2749,1042,9530,6590,3398,9019,3415,8525
-,153,0,0,0,0,0,0,0,0,0
+,4509,9525,7782,1639,4837,7469,4200,8863,7210,2454
+,2879,7205,2016,5730,7682,7561,6152,618,7447,1319
+,3538,2883,2969,725,2151,2784,2006,7936,2602,7338
+,9133,3347,352,5752,771,9387,788,5277,9161,8941
+,13,1013,5795,8837,9089,3290,9448,9397,6673,2062
+,1346,5468,5303,6533,9864,8633,1943,7118,7210,1324
-,379,0,0,0,0,0,0,0,0,0
+,5387,9519,1244,2647,773,3668,3665,1275,8377,184
-,788,0,0,0,0,0,0,0,0,0
+,4903,5650,301,1506,6800,8020,8794,8239,7267,9623
-,776,0,0,0,0,0,0,0,0,0
+,4639,8647,3987,1667,7701,2531,8602,9670,9993,7628
+,3897,2474,7384,2612,8628,2675,4844,6504,7923,2932
+,8155,8843,1493,4324,5472,4466,4992,422,9020,2956
-,176,0,0,0,0,0,0,0,0,0
-,586,0,0,0,0,0,0,0,0,0
+,2761,9748,7000,1624,5559,872,9834,7641,6107,8104
+,4806,107,4037,3911,546,9645,947,6110,3900,9843
+,2859,6074,8827,5014,120,117,1933,9072,2571,8165
+,1291,1879,3226,3264,2275,7737,5410,5391,9360,1384
+,308,2554,5825,2689,5490,9368,2393,1146,3417,9305
+,7388,2162,944,7050,1586,5473,1837,6433,4040,4363
+,5889,877,2347,167,1133,485,7596,1130,5569,7702
+,7550,7747,962,4668,9802,7971,9931,8382,192,9562
+,4453,5226,3007,9404,7942,2075,8024,1829,5104,6240
+,6943,8331,1120,2594,6753,9949,1685,4255,8276,6728
+,2265,737,1755,8685,2554,2024,5083,6751,3665,6095
+,3429,5936,2650,4072,2996,816,4348,4764,4735,8320
+,4786,4138,7676,6449,7117,8677,9941,9340,7994,5250
+,4419,4039,4513,1169,6595,6207,4458,9669,2748,3489
+,8342,5667,6370,3200,9156,427,8372,5759,626,5818
+,3595,963,6007,6399,1062,4952,9890,8211,3057,2907
+,6055,9993,4249,6390,4986,7404,284,5346,1508,4398
+,7048,4135,5251,9454,6215,8217,8797,1067,9212,5469
+,6170,5558,784,4750,8753,9828,225,8947,6055,9696
+,7338,9178,8047,3078,6906,1267,2558,5809,7501,857
+,7864,9797,7706,8706,6285,538,7634,2509,9293,7950
+,599,4762,3731,4616,4544,6281,3018,5916,4954,8944
+,6,7492,9519,8452,7626,2705,7652,5089,3849,8219
+,8636,4049,694,9079,6873,423,5713,1452,3308,6245
+,7278,7859,6154,5744,388,9580,7295,9874,2974,3586
+,7537,9662,2946,227,8456,837,2757,3783,7626,1938
+,5929,245,6885,493,9211,4643,5948,7165,3192,8736
+,686,5907,3801,942,6643,377,6772,6368,2219,4578
+,2648,4963,5409,5956,1779,4679,9452,3203,1586,842
+,8507,9609,3535,6781,4206,1570,2738,1543,5304,944
-,387,0,0,0,0,0,0,0,0,0
+,8291,8220,3916,8456,9243,3396,5033,2129,7029,7053
+,5512,3871,8303,1827,192,4046,8474,8804,3627,8178
+,1328,3094,2988,3871,536,8053,8530,6959,1053,1680
+,250,3325,8791,6436,4085,4303,3714,4453,8125,4760
+,2728,6437,3280,9293,8651,3507,6358,9650,6269,7539
+,3894,1999,565,8100,3780,9930,1581,3794,4494,335
-,762,0,0,0,0,0,0,0,0,0
+,5517,6671,4806,2093,9585,6062,4759,2486,8666,4914
+,9130,823,3692,8383,3049,5477,1622,6952,7626,9404
+,6004,1225,1590,9463,8943,4955,6816,7632,8275,4854
+,7273,14,8839,9488,3067,7328,6720,8247,8530,333
+,4340,4115,5024,7295,2026,6528,9940,4742,3019,4398
+,6075,806,8394,7936,3745,6139,7219,3156,2727,4020
+,5288,3803,8706,4841,7977,1379,1478,7782,7435,2455
